,file_id,let_id,recipient,place,word_count,avg_sent_length,year,to_theo,avg_sentiment,num_sent,perc_neg,perc_pos,cluster,pca1,pca2
544,714_01,714,Theo van Gogh,Arles,496,16.40625,1888,1,0.34668181818181826,32,0.15625,0.53125,1,-1.5076308,1.5455464
545,752_04,752,Theo van Gogh,Arles,925,20.75,1889,1,0.11337187500000001,48,0.25,0.4166666666666667,1,-8.441273,4.5566716
546,354_03,354,Anthon van Rappard,The Hague,1680,20.477272727272727,1883,0,0.3010369230769231,88,0.1590909090909091,0.5795454545454546,1,-0.47310382,-0.86285377
547,381_03,381,Theo van Gogh,The Hague,2474,26.696969696969695,1883,1,0.24362297297297295,99,0.1919191919191919,0.5555555555555556,2,4.8528085,6.2847314
548,642_03,642,Theo van Gogh,Arles,1362,20.070422535211268,1888,1,0.23478,71,0.18309859154929578,0.4507042253521127,2,7.9921203,-8.057695
549,868_04,868,Theo van Gogh,Saint-Rémy-de-Provence,1199,27.82608695652174,1890,1,0.055299999999999995,46,0.391304347826087,0.391304347826087,1,2.5318363,-4.014539
550,005_01,005,Theo van Gogh,The Hague,545,13.30232558139535,1873,1,0.29504814814814817,43,0.16279069767441862,0.46511627906976744,1,-13.085148,-0.700713
551,834_02,834,Theo van Gogh,Saint-Rémy-de-Provence,624,18.054054054054053,1890,1,0.460225,37,0.05405405405405406,0.3783783783783784,0,-9.921005,9.637456
552,221_01,221,Theo van Gogh,The Hague,1131,25.270833333333332,1882,1,0.05156285714285715,48,0.3333333333333333,0.3958333333333333,2,20.137482,1.2702336
553,673_05,673,Theo van Gogh,Arles,1065,20.563636363636363,1888,1,0.23425263157894738,55,0.21818181818181817,0.4727272727272727,1,-0.936732,-6.733832
554,560_04,560,Theo van Gogh,Antwerp,1124,23.313725490196077,1886,1,0.18187619047619047,51,0.2549019607843137,0.5686274509803921,2,5.1311307,-0.6762614
555,800_09,800,Theo van Gogh,Saint-Rémy-de-Provence,3193,23.602739726027398,1889,1,0.2757346153846154,146,0.17123287671232876,0.541095890410959,0,-12.17073,5.311959
556,336_03,336,Theo van Gogh,The Hague,1403,25.406779661016948,1883,1,0.41077173913043474,59,0.13559322033898305,0.6440677966101694,2,5.4458184,2.7714417
557,580_03,580,Theo van Gogh,Arles,733,28.22222222222222,1888,1,0.32371428571428573,27,0.14814814814814814,0.6296296296296297,1,-7.5031686,-4.794327
558,738_01,738,Theo van Gogh,Arles,781,17.125,1889,1,0.147088,48,0.16666666666666666,0.3541666666666667,1,-12.254842,-0.373466
559,062_03,062,Theo van Gogh,Paris,329,13.26923076923077,1875,1,0.42764285714285716,26,0.07692307692307693,0.46153846153846156,0,-35.44509,20.254293
560,466_03,466,Theo van Gogh,Nuenen,351,19.45,1884,1,0.13848888888888888,20,0.15,0.3,1,-16.37448,-2.991894
561,483_03,483,Theo van Gogh,Nuenen,702,21.62857142857143,1885,1,0.391772,35,0.08571428571428572,0.6285714285714286,1,-13.870872,-2.0404124
562,703_05,703,Theo van Gogh,Arles,752,13.706896551724139,1888,1,0.1963,58,0.1896551724137931,0.41379310344827586,1,2.083339,-10.5017605
563,245_02,245,Theo van Gogh,The Hague,1958,25.987654320987655,1882,1,0.3304741379310344,81,0.13580246913580246,0.5802469135802469,2,20.228949,6.1745286
564,662_02,662,Theo van Gogh,Arles,684,21.90909090909091,1888,1,0.41170952380952375,33,0.09090909090909091,0.5454545454545454,1,-1.1640034,4.948879
565,051_01,051,Theo van Gogh,Paris,417,33.23076923076923,1875,1,0.43445999999999996,13,0.15384615384615385,0.6153846153846154,0,-25.293707,7.3561335
566,130_01,130,Theo van Gogh,Amsterdam,795,39.523809523809526,1877,1,0.5825684210526315,21,0.047619047619047616,0.8571428571428571,1,1.7240485,-4.4239554
567,190_01,190,Anthon van Rappard,Etten,1369,20.742857142857144,1881,0,0.3329,70,0.15714285714285714,0.44285714285714284,2,13.55294,-1.3849325
568,401_02,401,Theo van Gogh,Nieuw-Amsterdam,2286,30.4125,1883,1,-0.029045161290322568,80,0.4125,0.3625,2,15.008034,-0.7709111
569,069_02,069,Theo van Gogh,Paris,281,17.58823529411765,1876,1,0.39328,17,0.17647058823529413,0.4117647058823529,0,-24.066967,4.123163
570,259_02,259,Theo van Gogh,The Hague,1468,22.442857142857143,1882,1,0.2773333333333333,70,0.17142857142857143,0.5571428571428572,2,16.883478,6.4370537
571,318_05,318,Theo van Gogh,The Hague,1348,21.96923076923077,1883,1,0.2100577777777778,65,0.2153846153846154,0.47692307692307695,1,0.5204682,-11.842684
